Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,0,33,PTM-SEA,0,1,AGC,SGK,NA,SGK1
CHEK1,-5.621837799799507,29,PTM-SEA,0.3448275862068966,2,CAMK,CAMKL,CHK1,CHEK1
AURKA,-14.152767359976753,20,PTM-SEA,0.5,3,OTHER,AUR,NA,AURKA
RPS6KA5,-70.59028225750053,1,PTM-SEA,1,4,AGC,RSK,MSK,RPS6KA5
CHEK2,-35.59585494994514,9,PTM-SEA,0.8448275862068966,4,CAMK,RAD53,NA,CHEK2
RAF1,4.145626281115444,30,PTM-SEA,0.3275862068965517,2,TKL,RAF,RAF,RAF1
PRKCB,-6.3944916622151515,28,PTM-SEA,0.3620689655172414,2,AGC,PKC,ALPHA,PRKCB
CDK1,-25.417251251697333,13,PTM-SEA,0.7413793103448276,3,CMGC,CDK,CDC2,CDK1
ARAF,27.775641268179243,12,PTM-SEA,0.7586206896551724,4,TKL,RAF,RAF,ARAF
PIM1,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,CAMK,PIM,NA,PIM1
CDK4,-41.77987387334195,7,PTM-SEA,0.8793103448275862,4,CMGC,CDK,CDK4,CDK4
SRC,0,33,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,27.775641268179243,12,PTM-SEA,0.7586206896551724,4,TKL,RAF,RAF,BRAF
PRKCA,-7.540307185320701,27,PTM-SEA,0.3793103448275862,2,AGC,PKC,ALPHA,PRKCA
PRKACA,-3.8010055926168547,31,PTM-SEA,0.3103448275862069,2,AGC,PKA,NA,PRKACA
PRKACG,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,AGC,PKA,NA,PRKACG
PRKACB,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,AGC,PKA,NA,PRKACB
RPS6KB1,12.215266415607047,22,PTM-SEA,0.46551724137931033,2,AGC,RSK,P70,RPS6KB1
CDK2,-48.82465010434518,5,PTM-SEA,0.9137931034482759,4,CMGC,CDK,CDC2,CDK2
MAPK3,-32.47999888929864,10,PTM-SEA,0.8275862068965517,4,CMGC,MAPK,ERK1,MAPK3
MAPK1,-7.5570628788208385,26,PTM-SEA,0.39655172413793105,2,CMGC,MAPK,ERK1,MAPK1
AKT1,18.52086170676695,17,PTM-SEA,0.5517241379310345,3,AGC,AKT,NA,AKT1
AKT2,47.73632615224429,6,PTM-SEA,0.896551724137931,4,AGC,AKT,NA,AKT2
MAP3K8,0,33,PTM-SEA,0,1,STE,STE-UNIQUE,NA,MAP3K8
PRKCI,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,AGC,PKC,IOTA,PRKCI
MTOR,0,33,PTM-SEA,0,1,ATYPICAL,PIKK,FRAP,MTOR
MAPK8,0,33,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK8
MAPKAPK2,-11.325082464076367,23,PTM-SEA,0.4482758620689655,2,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
CDK9,-53.12874251497006,4,PTM-SEA,0.9310344827586207,4,CMGC,CDK,CDK9,CDK9
RPS6KA3,-14.913643821870263,19,PTM-SEA,0.5172413793103449,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,33,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
PRKAA2,55.59658918147834,2,PTM-SEA,0.9827586206896551,4,CAMK,CAMKL,AMPK,PRKAA2
CSNK2A1,0,33,PTM-SEA,0,1,CMGC,CK2,NA,CSNK2A1
AURKB,-3.1851077521000177,32,PTM-SEA,0.29310344827586204,2,OTHER,AUR,NA,AURKB
CDK3,0,33,PTM-SEA,0,1,CMGC,CDK,CDC2,CDK3
CDK6,-53.12874251497006,4,PTM-SEA,0.9310344827586207,4,CMGC,CDK,CDK4,CDK6
CDK5,-23.974790621674497,14,PTM-SEA,0.7241379310344828,3,CMGC,CDK,CDK5,CDK5
PRKCE,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,AGC,PKC,ETA,PRKCE
PRKCQ,-20.526502970869505,15,PTM-SEA,0.7068965517241379,3,AGC,PKC,DELTA,PRKCQ
PRKCZ,0,33,PTM-SEA,0,1,AGC,PKC,IOTA,PRKCZ
PRKCD,0,33,PTM-SEA,0,1,AGC,PKC,DELTA,PRKCD
PRKAA1,29.70842824981105,11,PTM-SEA,0.8103448275862069,4,CAMK,CAMKL,AMPK,PRKAA1
PAK1,-8.244013772556173,25,PTM-SEA,0.41379310344827586,2,STE,STE20,PAKA,PAK1
PRKG2,16.601460687492754,18,PTM-SEA,0.5344827586206896,3,AGC,PKG,NA,PRKG2
ROCK1,0,33,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,0,33,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
PRKG1,9.642337971265217,24,PTM-SEA,0.43103448275862066,2,AGC,PKG,NA,PRKG1
PRKD1,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,CAMK,PKD,NA,PRKD1
RPS6KA2,-54.12396961465653,3,PTM-SEA,0.9655172413793104,4,AGC,RSK,RSK,RPS6KA2
RPS6KA1,-12.845436995303873,21,PTM-SEA,0.4827586206896552,2,AGC,RSK,RSK,RPS6KA1
PKN1,-38.05379953711049,8,PTM-SEA,0.8620689655172413,4,AGC,PKN,NA,PKN1
MAPK14,0,33,PTM-SEA,0,1,CMGC,MAPK,P38,MAPK14
PIM3,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,CAMK,PIM,NA,PIM3
BRSK2,0,33,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,33,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PLK3,0,33,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,33,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,-19.232081630737603,16,PTM-SEA,0.5689655172413793,3,CAMK,PIM,NA,PIM2
AKT3,27.775641268179243,12,PTM-SEA,0.7586206896551724,4,AGC,AKT,NA,AKT3
AAK1,293,269,KEA3,0.11142857142857143,1,OTHER,NAK,BIKE,AAK1
ABL1,60,43,KEA3,0.8685714285714285,4,TK,ABL,NA,ABL1
ABL2,137,138,KEA3,0.5142857142857142,3,TK,ABL,NA,ABL2
ACVR1,102.5,99,KEA3,0.6428571428571429,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,121.5,124,KEA3,0.5542857142857143,3,TKL,STKR,TYPE1,ACVR1B
ACVR2B,213,206,KEA3,0.3,2,TKL,STKR,TYPE2,ACVR2B
AKT1,27.666666666666664,15,KEA3,0.9571428571428572,4,AGC,AKT,NA,AKT1
AKT2,69,57,KEA3,0.82,4,AGC,AKT,NA,AKT2
AKT3,27,14,KEA3,0.96,4,AGC,AKT,NA,AKT3
ALK,139,142,KEA3,0.5028571428571429,3,TK,ALK,NA,ALK
ARAF,78.5,65,KEA3,0.7885714285714286,4,TKL,RAF,RAF,ARAF
ATM,59.666666666666664,41,KEA3,0.88,4,ATYPICAL,PIKK,ATM,ATM
ATR,73.66666666666667,63,KEA3,0.7971428571428572,4,ATYPICAL,PIKK,ATR,ATR
AURKA,28.333333333333332,16,KEA3,0.9542857142857143,4,OTHER,AUR,NA,AURKA
AURKB,39.333333333333336,23,KEA3,0.9342857142857143,4,OTHER,AUR,NA,AURKB
AURKC,185.5,182,KEA3,0.37714285714285717,2,OTHER,AUR,NA,AURKC
AXL,190,188,KEA3,0.3514285714285714,2,TK,AXL,NA,AXL
BLK,255.5,243,KEA3,0.18857142857142858,1,TK,SRC,SRCB,BLK
BMP2K,324,295,KEA3,0.037142857142857144,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,168.5,166,KEA3,0.4228571428571429,2,TKL,STKR,TYPE1,BMPR1A
BMPR1B,100,97,KEA3,0.6485714285714286,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,210.5,203,KEA3,0.30857142857142855,2,TKL,STKR,TYPE2,BMPR2
BMX,106.33333333333333,102,KEA3,0.6342857142857142,3,TK,TEC,NA,BMX
BRAF,135.5,135,KEA3,0.5228571428571429,3,TKL,RAF,RAF,BRAF
BRSK1,108.33333333333334,104,KEA3,0.6285714285714286,3,CAMK,CAMKL,BRSK,BRSK1
BRSK2,300,276,KEA3,0.09142857142857143,1,CAMK,CAMKL,BRSK,BRSK2
BTK,69.33333333333333,58,KEA3,0.8171428571428572,4,TK,TEC,NA,BTK
BUB1,115.5,114,KEA3,0.5914285714285714,3,OTHER,BUB,NA,BUB1
CAMK1,174,170,KEA3,0.4114285714285714,2,CAMK,CAMK1,NA,CAMK1
